grid_code,cn
10_P_III_A,65
10_P_III_B,82
10_P_III_C,89
10_P_III_D,93
20_P_III_A,80
20_P_III_B,89
20_P_III_C,94
20_P_III_D,95
30_P_III_A,84
30_P_III_B,91
30_P_III_C,94
30_P_III_D,96
40_P_III_A,86
40_P_III_B,92
40_P_III_C,95
40_P_III_D,97
50_P_III_A,96
50_P_III_B,97
50_P_III_C,98
50_P_III_D,98
60_P_III_A,82
60_P_III_B,91
60_P_III_C,95
60_P_III_D,96
70_P_III_A,0
70_P_III_B,0
70_P_III_C,0
70_P_III_D,0
80_P_III_A,100
80_P_III_B,100
80_P_III_C,100
80_P_III_D,100
90_P_III_A,91
90_P_III_B,91
90_P_III_C,91
90_P_III_D,91
95_P_III_A,0
95_P_III_B,0
95_P_III_C,0
95_P_III_D,0
100_P_III_A,88
100_P_III_B,89
100_P_III_C,90
100_P_III_D,91
