GDCode,CN_Join
11A,100
11B,100
11C,100
11D,100
11,100
12A,100
12B,100
12C,100
12D,100
12,100
21A,52
21B,68
21C,78
21D,84
21,84
22A,81
22B,88
22C,90
22D,93
22,93
23A,84
23B,89
23C,93
23D,94
23,94
24A,88
24B,92
24C,93
24D,94
24,94
31A,70
31B,81
31C,88
31D,92
31,92
32A,70
32B,81
32C,88
32D,92
32,92
41A,45
41B,66
41C,77
41D,83
41,83
42A,30
42B,55
42C,70
42D,77
42,77
43A,36
43B,60
43C,73
43D,79
43,79
51A,33
51B,42
51C,55
51D,62
51,62
52A,33
52B,42
52C,55
52D,62
52,62
71A,47
71B,63
71C,75
71D,85
71,85
72A,47
72B,63
72C,75
72D,85
72,85
73A,74
73B,74
73C,74
73D,74
73,74
74A,79
74B,79
74C,79
74D,79
74,79
81A,40
81B,61
81C,73
81D,79
81,79
82A,62
82B,74
82C,82
82D,86
82,86
90A,86
90B,86
90C,86
90D,86
90,86
95A,80
95B,80
95C,80
95D,80
95,80
